Date,Open,High,Low,Close,Adj Close,Volume,M_Y_Date
2/3/2015,203,204.850006,202.550003,204.839996,189.139313,122416200,2-2015
2/4/2015,203.919998,205.380005,203.509995,204.059998,188.419083,134306700,2-2015
2/5/2015,204.860001,206.300003,204.770004,206.119995,190.321167,97953200,2-2015
2/6/2015,206.559998,207.240005,204.919998,205.550003,189.794861,119694900,2-2015
2/9/2015,204.770004,205.639999,204.139999,204.630005,188.945343,87219000,2-2015
2/10/2015,205.880005,207.119995,204.679993,206.809998,190.958282,96164200,2-2015
2/11/2015,206.610001,207.449997,205.830002,206.929993,191.069092,91087800,2-2015
2/12/2015,207.889999,208.990005,206.970001,208.919998,192.906555,97545900,2-2015
2/13/2015,209.070007,209.839996,208.759995,209.779999,193.700638,93670400,2-2015
2/17/2015,209.399994,210.320007,209.100006,210.110001,194.00531,76968200,2-2015
2/18/2015,209.660004,210.220001,209.339996,210.130005,194.023819,74848400,2-2015
2/19/2015,209.410004,210.419998,209.240005,209.979996,193.885315,91462500,2-2015
2/20/2015,209.479996,211.330002,208.729996,211.240005,195.048721,140896400,2-2015
2/23/2015,210.940002,211.210007,210.479996,211.210007,195.021072,74411100,2-2015
2/24/2015,211.119995,212.050003,210.759995,211.809998,195.575027,70943200,2-2015
2/25/2015,211.660004,212.240005,211.220001,211.630005,195.408829,73061700,2-2015
2/26/2015,211.520004,211.710007,210.649994,211.380005,195.177979,72697900,2-2015
2/27/2015,211.259995,211.580002,210.600006,210.660004,194.513199,108076000,2-2015
3/2/2015,210.779999,212.059998,210.720001,211.990005,195.741257,87491400,3-2015
3/3/2015,211.470001,212.050003,210.080002,211.119995,194.937943,110325800,3-2015
3/4/2015,210.399994,210.490005,209.059998,210.229996,194.11618,105665800,3-2015
3/5/2015,209.419998,210.800003,209.850006,210.460007,194.328537,76873000,3-2015
3/6/2015,210.460007,210.460007,207.100006,207.5,191.595413,188128000,3-2015
3/9/2015,207.740005,208.789993,207.550003,208.360001,192.38945,89818900,3-2015
3/10/2015,206.710007,206.809998,204.929993,204.979996,189.268539,153901500,3-2015
3/11/2015,205.289993,205.5,204.399994,204.5,188.825348,110145700,3-2015
3/12/2015,205.259995,207.179993,205.199997,207.100006,191.226059,93993500,3-2015
3/13/2015,206.770004,207.929993,204.580002,205.830002,190.053421,162410900,3-2015
3/16/2015,206.710007,208.690002,205.860001,208.580002,192.592621,136099200,3-2015
3/17/2015,207.690002,208.419998,206.979996,207.960007,192.020157,91167100,3-2015
3/18/2015,207.389999,211.270004,206.619995,210.460007,194.328537,220171200,3-2015
3/19/2015,209.960007,210.470001,209.029999,209.5,193.442123,117917300,3-2015
3/20/2015,209.710007,211.020004,209.490005,210.410004,195.149399,177715100,3-2015
3/23/2015,210.419998,211.110001,210,210,194.769135,71310300,3-2015
3/24/2015,209.850006,210.399994,208.740005,208.820007,193.674713,77805300,3-2015
3/25/2015,209.070007,209.350006,205.710007,205.759995,190.83667,159521700,3-2015
3/26/2015,204.960007,206.369995,204.119995,205.270004,190.382202,153067200,3-2015
3/27/2015,205.130005,205.949997,204.899994,205.740005,190.818115,109352100,3-2015
3/30/2015,205.740005,208.610001,206.960007,208.25,193.146057,96180400,3-2015
3/31/2015,207.259995,208.100006,206.360001,206.429993,191.458054,126768700,3-2015
4/1/2015,206.429993,206.429993,204.509995,205.699997,190.780991,132644700,4-2015
4/2/2015,205.619995,206.979996,205.399994,206.440002,191.467346,86900900,4-2015
4/6/2015,206.440002,208.449997,205.210007,207.830002,192.756531,114368200,4-2015
4/7/2015,207.860001,208.759995,207.240005,207.279999,192.246399,81236300,4-2015
4/8/2015,207.550003,208.509995,207.080002,207.979996,192.89563,89351900,4-2015
4/9/2015,207.779999,209.179993,207.190002,208.899994,193.748932,85548900,4-2015
4/10/2015,209.199997,210.089996,208.960007,210.039993,194.806244,72722900,4-2015
4/13/2015,209.869995,210.630005,209.029999,209.089996,193.92514,74436600,4-2015
4/14/2015,208.850006,209.710007,208.100006,209.490005,194.296143,73013500,4-2015
4/15/2015,210.050003,211.039993,209.949997,210.429993,195.167969,99529300,4-2015
4/16/2015,210.029999,210.979996,209.789993,210.369995,195.112289,68934900,4-2015
4/17/2015,208.940002,209.229996,207.009995,207.949997,192.867813,191113200,4-2015
4/20/2015,209.059998,210.25,208.960007,209.850006,194.630005,82969100,4-2015
4/21/2015,210.669998,210.860001,209.240005,209.600006,194.398132,72559800,4-2015
4/22/2015,210.009995,210.850006,208.899994,210.630005,195.35347,78264600,4-2015
4/23/2015,210.149994,211.940002,210.009995,211.160004,195.845032,102585900,4-2015
4/24/2015,211.660004,211.970001,211.110001,211.649994,196.299484,61327400,4-2015
